data,#cores,run,demeter_log_runtime,demeter_log_cputime,mprof_runtime,mprof_max_mem,mprof_mean_mem
pf2,1,5,20276.123,18502557,20306.765499830246,578.5234379999999,446.52635647071077
pf2,1,6,19639.398,17832774,19670.02110004425,578.5625,444.4421930799501
pf2,1,7,19573.885,17760667,19604.858500003815,566.8632809999999,445.9910756674149
pf2,1,8,19734.794,17909796,19765.633999824524,572.3085940000001,445.43110124635706
pf2,1,9,20056.385,18251308,20087.174200057983,586.3359379999999,443.0195752833599
pf2,2,0,10482.998,18352247,10500.5515999794,1175.2851560000001,897.1092414305361
pf2,2,1,10403.356,18331692,10418.45560002327,1077.6015619999998,853.1038645682098
pf2,2,2,10403.282,18399996,10417.796499967575,1093.7460939999999,868.1356247250823
pf2,2,3,10433.425,18108549,10448.152600049973,1098.234375,853.4415948207185
pf2,2,4,10598.205,18422770,10616.454900026321,1099.390625,871.7495407113189
pf2,2,5,10153.155,17833797,10172.543200016022,1082.2539060000001,841.1694030831223
pf2,2,6,10375.328,18295545,10394.45190000534,1081.2265619999998,857.331937583647
pf2,2,7,10520.091,18303893,10539.354599952698,1083.5664060000001,856.0262971398748
pf2,2,8,10275.516,18133104,10294.4210999012,1102.7070310000001,859.076292998374
pf2,2,9,10349.114,18409826,10368.750299930573,1066.4921880000002,857.6329420226031
pf2,4,0,5543.562,18234207,5556.039799928665,2102.113281,1648.317679852762
pf2,4,1,5493.663,18217849,5506.015000104904,2110.746094,1660.5616166041698
pf2,4,2,5745.108,18489472,5756.509999990463,2125.855469,1614.4998815540307
pf2,4,3,5618.057,18228793,5631.203399896622,2080.824219,1618.8155204991076
pf2,4,4,5590.732,18070126,5607.396399974823,2106.3671879999997,1589.2589117258613
pf2,4,5,5274.4,17540755,5290.695500135422,2035.398438,1635.3702191142531
pf2,4,6,5422.266,17974172,5437.7727999687195,2141.785156,1619.2684288896564
pf2,4,7,5636.035,17983301,5651.69870018959,2088.15625,1575.428240158644
pf2,4,8,5613.778,18526160,5625.227299928665,2103.265625,1621.7112717155728
pf2,4,9,5468.422,18208237,5481.054199934006,2107.2421879999997,1629.867151633754
pf2,8,0,3552.47,18824215,3564.0202000141144,4098.207031,2650.6340064818073
pf2,8,1,3396.549,18615931,3407.677400112152,4069.804688,2734.538549993156
pf2,8,2,3213.827,18073349,3224.7567999362946,3994.71875,2840.093494840324
pf2,8,3,3352.09,18737255,3363.2983000278473,3926.3320310000004,2792.8159014565663
pf2,8,4,3184.206,18077890,3195.8241999149323,4091.6992189999996,2870.3005441606742
pf2,8,5,3339.035,18748088,3350.4042999744415,4012.414062,2823.9813242286427
pf2,8,6,3297.582,18651963,3308.769500017166,3926.4804689999996,2814.300757826225
pf2,8,7,3206.549,18188269,3217.330399990082,3914.8320310000004,2774.5492985705987
pf2,8,8,3371.816,18375264,3382.4210000038147,4129.550781,2766.7512078600566
pf2,8,9,3158.921,17924832,3169.7966001033783,3971.5820310000004,2807.0667152641345
pf2,16,0,2459.13,17283553,2470.275400161743,7707.199219,3787.5399161619116
pf2,16,1,2541.889,17224612,2552.8732998371124,7578.53125,3666.3105234542095
pf2,16,2,2374.751,17723746,2385.879800081253,7878.246094,3999.140890087863
pf2,16,3,2774.911,18007626,2786.119999885559,7755.25,3578.8889272810434
pf2,16,4,2709.361,18041278,2720.7867999076843,7837.054687999999,3663.212230343433
pf2,16,5,2404.05,17400127,2414.8719000816345,7491.847656,3938.962661225341
pf2,16,6,2375.317,17816988,2385.736999988556,7754.070312000001,4069.969401086069
pf2,16,7,2537.617,17496126,2548.4293999671936,7861.453125,3740.0592921989332
pf2,16,8,2547.189,17557492,2558.350100040436,7924.070312000001,3787.350125720159
pf2,16,9,2463.509,17828656,2475.067100048065,7801.777344,3975.8259954674136
pf2,24,0,2524.661,17176163,2535.5706000328064,11287.527344,4086.3856763986873
pf2,24,1,2179.72,17208302,2191.3677999973297,11042.332031,4584.232752498143
pf2,24,2,2408.269,17827934,2418.7052998542786,11405.804688,4463.728264236515
pf2,24,3,2160.578,17085947,2171.7947998046875,11322.882812,4755.396633869639
pf2,24,4,2154.483,17145060,2165.614000082016,10973.503906,4622.22910544433
pf2,24,5,2203.427,17276156,2213.8564999103546,11111.261719,4607.028623196572
pf2,24,6,2129.381,17081595,2139.966399908066,11156.035156,4719.451221903105
pf2,24,7,2435.196,17644622,2445.8203999996185,11153.558594,4279.4506114174565
pf2,24,8,2235.468,17108167,2246.4435999393463,11212.625,4449.014560930541
pf2,24,9,2165.623,16969896,2176.1687998771667,11219.6875,4615.888090112769
pf3,1,0,26212.609,24424022,26242.453200101852,582.6328120000001,450.00923516395744
pf3,1,1,27421.667,25646610,27450.70810008049,593.171875,447.7813454823713
pf3,1,2,27431.816,25653074,27460.70440006256,582.3984379999999,457.38072263482167
pf3,1,3,26103.899,24316684,26133.31150007248,568.9179690000001,449.06188330580704
pf3,1,4,27987.279,26241792,28016.56500005722,602.5234379999999,459.7740559658134
pf3,1,5,27483.05,25700990,27512.529700040817,561.6132809999999,445.19296882757106
pf3,1,6,26954.874,25180353,26983.714200019836,578.5625,449.4514750056314
pf3,1,7,26608.901,24881273,26638.26539993286,572.5976559999999,444.9056893159856
pf3,1,8,26579.448,24803604,26608.967700004578,584.984375,443.8816545259061
pf3,1,9,27082.493,25317977,27111.682399988174,567.84375,446.86042148642935
pf3,2,0,15214.584,25802663,15230.435100078583,1075.9257810000001,829.8000232557283
pf3,2,1,14965.576,25140209,14981.220099925995,1076.3242189999999,807.76985881533
pf3,2,2,14624.059,24803329,14638.46299982071,1079.3789060000001,821.0915387698683
pf3,2,3,14757.654,25088391,14771.210000038147,1072.015625,831.9638208939755
pf3,2,4,14304.642,25126434,14320.85840010643,1077.5039060000001,850.8014417373792
pf3,2,5,15236.886,25997253,15251.925499916077,1118.7695310000001,819.2460912466764
pf3,2,6,14992.22,25724493,15011.013000011444,1086.734375,829.2897520084864
pf3,2,7,15249.549,25889256,15267.850500106812,1070.1640619999998,819.7207258823113
pf3,2,8,14550.476,25059274,14565.664699792862,1100.484375,848.1063039954955
pf3,2,9,14461.799,25301224,14479.795899868011,1083.7421880000002,846.647183694295
pf3,4,0,8128.993,26205156,8141.700399875641,2136.6640620000003,1608.8849509532179
pf3,4,1,8928.939,26271331,8942.190700054169,2033.773438,1452.0867016606098
pf3,4,2,7750.451,24586470,7763.0531001091,2065.574219,1592.6403547218567
pf3,4,3,7994.7,24375992,8006.046799898148,2156.949219,1523.2491153587368
pf3,4,4,8258.545,24996102,8273.966000080109,2206.011719,1483.4457021558392
pf3,4,5,8458.016,23886200,8473.167799949646,2036.511719,1411.2607643465838
pf3,4,6,7881.463,24224895,7897.457999944687,2098.050781,1507.4904961592642
pf3,4,7,7701.253,24651208,7716.8765001297,2092.7109379999997,1576.837156208009
pf3,4,8,7645.492,25636535,7658.384199857712,2047.539062,1641.7421535704425
pf3,4,9,8219.617,25462038,8231.956000089645,2095.144531,1546.7888854403552
pf3,8,0,5000.575,24711027,5011.474400043488,4088.7773439999996,2513.3717974359656
pf3,8,1,4553.278,25362862,4563.428500175476,4082.4179689999996,2804.7501448284775
pf3,8,2,5234.297,25684205,5245.389100074768,4173.277344,2529.915713334701
pf3,8,3,4692.247,25191734,4703.054999828339,3997.8007810000004,2698.406137952708
pf3,8,4,4909.258,25638012,4920.070899963379,4024.5507810000004,2637.3848792534104
pf3,8,5,4667.365,24709135,4678.526899814606,3957.859375,2600.655395553613
