,data,size,fold,cores,duration,cpu,noncpu,avemem,maxmem
30,pf2,7679116,5,4,1266,2606.0,3724.0,957.76 MB,2938 MB
37,pf2,7679116,6,4,1637,3057.0,5128.0,682.19 MB,2880 MB
44,pf2,7679116,7,4,805,2142.0,1883.0,882.42 MB,2659 MB
51,pf2,7679116,8,4,1080,2017.0,3383.0,646.31 MB,2866 MB
58,pf2,7679116,9,4,1910,5793.0,3757.0,1408.84 MB,3560 MB
65,pf2,7679116,10,4,1064,2024.0,3296.0,695.44 MB,2602 MB
3,pf2,7679116,1,8,894,3128.0,4918.0,735.25 MB,4739 MB
10,pf2,7679116,2,8,4704,4979.0,37357.0,4421.94 MB,6050 MB
17,pf2,7679116,3,8,1737,2583.0,13050.0,746.85 MB,5897 MB
24,pf2,7679116,4,8,1389,2575.0,9926.0,859.50 MB,5857 MB
31,pf2,7679116,5,8,640,2017.0,3743.0,1350.42 MB,4823 MB
38,pf2,7679116,6,8,1074,3233.0,6433.0,1267.57 MB,5474 MB
45,pf2,7679116,7,8,549,2024.0,2917.0,1275.66 MB,4771 MB
52,pf2,7679116,8,8,517,2250.0,2403.0,1172.92 MB,4313 MB
59,pf2,7679116,9,8,1375,6617.0,5758.0,2162.88 MB,6414 MB
66,pf2,7679116,10,8,509,2019.0,2562.0,1251.62 MB,4339 MB
4,pf2,7679116,1,16,2208,4979.0,32557.0,2986.70 MB,12712 MB
11,pf2,7679116,2,16,731,2599.0,9828.0,1292.20 MB,8454 MB
18,pf2,7679116,3,16,614,5621.0,4817.0,1374.55 MB,8988 MB
25,pf2,7679116,4,16,354,2042.65,3975.35,1410.53 MB,9069 MB
32,pf2,7679116,5,16,247,2739.0,1460.0,3750.16 MB,8955 MB
39,pf2,7679116,6,16,260,2669.15,1750.85,4162.84 MB,8773 MB
46,pf2,7679116,7,16,235,13.57,3981.43,145.45 MB,332 MB
53,pf2,7679116,8,16,252,2008.0,2276.0,3628.35 MB,9682 MB
60,pf2,7679116,9,16,384,3983.0,2545.0,1874.50 MB,9978 MB
67,pf2,7679116,10,16,761,2455.61,10481.39,999.78 MB,10501 MB
0,pf2,7679116,1,24,174,2574.8,1775.1999999999996,2680.27 MB,7919 MB
1,pf2,7679116,2,24,173,2630.73,1694.27,956.43 MB,8450 MB
2,pf2,7679116,3,24,388,5758.0,3942.0,4281.94 MB,15205 MB
3,pf2,7679116,4,24,358,5488.0,3462.0,4464.68 MB,14510 MB
4,pf2,7679116,5,24,176,2575.73,1824.27,2742.92 MB,6858 MB
5,pf2,7679116,6,24,363,5748.0,3327.0,4988.07 MB,16089 MB
6,pf2,7679116,7,24,355,5630.0,3245.0,5911.03 MB,13678 MB
7,pf2,7679116,8,24,364,5652.0,3448.0,5311.11 MB,15040 MB
8,pf2,7679116,9,24,173,2577.16,1747.84,3507.75 MB,7427 MB
